timestamp,tag,page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,anchors,kept,hit,recall,clean,merged,spurious,label
2026-09-19T15:01:14,p1_single_dpi200_box0.08_txt0.1_procDEFAULT,1,single,200,defxdef,1120x800,0.08,0.1,,,,2,15,0,0.0,0,0,15,correct
2026-09-19T15:01:15,p1_single_dpi200_box0.12_txt0.1_procDEFAULT,1,single,200,defxdef,1120x800,0.12,0.1,,,,2,6,0,0.0,0,0,6,correct
2026-09-19T15:03:36,p2_single_dpi200_box0.12_txt0.1_procDEFAULT,2,single,200,defxdef,1120x800,0.12,0.1,,,,2,6,0,0.0,0,0,6,correct
2026-09-19T15:04:18,p1_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,1,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,2,39,2,1.0,3,0,36,wrong
2026-09-19T15:04:19,p1_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,1,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,2,27,2,1.0,3,0,24,wrong
2026-09-19T15:04:27,p2_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,2,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,2,42,2,1.0,4,0,38,wrong
2026-09-19T15:04:28,p2_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,2,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,2,33,2,1.0,4,0,29,wrong
2026-09-19T15:04:35,p2_single_dpi200_box0.08_txt0.1_procDEFAULT,2,single,200,defxdef,1120x800,0.08,0.1,,,,2,14,0,0.0,0,0,14,wrong
2026-09-19T15:04:41,p3_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,3,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,2,47,2,1.0,3,0,44,wrong
2026-09-19T15:04:42,p3_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,3,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,2,39,2,1.0,3,0,36,wrong
2026-09-19T15:04:48,p3_single_dpi200_box0.12_txt0.1_procDEFAULT,3,single,200,defxdef,1120x800,0.12,0.1,,,,2,12,0,0.0,0,0,12,correct
2026-09-19T15:04:53,p3_single_dpi200_box0.08_txt0.1_procDEFAULT,3,single,200,defxdef,1120x800,0.08,0.1,,,,2,25,0,0.0,0,0,25,wrong
2026-09-19T15:05:05,p4_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,4,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,2,47,2,1.0,3,0,44,wrong
2026-09-19T15:05:06,p4_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,4,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,2,40,2,1.0,3,0,37,wrong
2026-09-19T15:05:10,p4_single_dpi200_box0.08_txt0.1_procDEFAULT,4,single,200,defxdef,1120x800,0.08,0.1,,,,2,15,0,0.0,0,0,15,wrong
2026-09-19T15:05:10,p4_single_dpi200_box0.12_txt0.1_procDEFAULT,4,single,200,defxdef,1120x800,0.12,0.1,,,,2,9,0,0.0,0,0,9,correct
2026-09-19T15:05:14,p5_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,5,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,3,33,3,1.0,4,0,29,wrong
2026-09-19T15:05:15,p5_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,5,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,3,28,3,1.0,4,0,24,wrong
2026-09-19T15:05:18,p5_single_dpi200_box0.12_txt0.1_procDEFAULT,5,single,200,defxdef,1120x800,0.12,0.1,,,,3,11,0,0.0,0,0,11,correct
2026-09-19T15:05:19,p5_single_dpi200_box0.08_txt0.1_procDEFAULT,5,single,200,defxdef,1120x800,0.08,0.1,,,,3,20,0,0.0,0,0,20,wrong
2026-09-19T15:05:24,p6_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,6,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,2,35,2,1.0,3,0,32,wrong
2026-09-19T15:06:16,p6_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,6,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,2,24,2,1.0,3,0,21,wrong
2026-09-19T15:06:18,p6_single_dpi200_box0.08_txt0.1_procDEFAULT,6,single,200,defxdef,1120x800,0.08,0.1,,,,2,21,0,0.0,0,0,21,wrong
2026-09-19T15:06:19,p6_single_dpi200_box0.12_txt0.1_procDEFAULT,6,single,200,defxdef,1120x800,0.12,0.1,,,,2,9,0,0.0,0,0,9,correct
2026-09-19T15:06:21,p7_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,7,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,4,50,4,1.0,3,3,44,wrong
2026-09-19T15:06:23,p7_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,7,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,4,34,4,1.0,2,3,29,wrong
2026-09-19T15:06:27,p7_single_dpi200_box0.08_txt0.1_procDEFAULT,7,single,200,defxdef,1120x800,0.08,0.1,,,,4,19,0,0.0,0,0,19,wrong
2026-09-19T15:06:29,p7_single_dpi200_box0.12_txt0.1_procDEFAULT,7,single,200,defxdef,1120x800,0.12,0.1,,,,4,8,0,0.0,0,0,8,correct
2026-09-19T15:06:35,p8_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,8,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,3,41,3,1.0,6,1,34,wrong
2026-09-19T15:06:37,p8_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,8,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,3,34,3,1.0,6,1,27,wrong
2026-09-19T15:06:50,p8_single_dpi200_box0.08_txt0.1_procDEFAULT,8,single,200,defxdef,1120x800,0.08,0.1,,,,3,21,2,0.667,2,1,18,correct
2026-09-19T15:06:51,p8_single_dpi200_box0.12_txt0.1_procDEFAULT,8,single,200,defxdef,1120x800,0.12,0.1,,,,3,12,2,0.667,0,1,11,wrong
2026-09-19T15:06:59,p9_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,9,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,2,34,2,1.0,3,0,31,wrong
2026-09-19T15:07:03,p9_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,9,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,2,27,2,1.0,3,0,24,wrong
2026-09-19T15:07:05,p9_single_dpi200_box0.08_txt0.1_procDEFAULT,9,single,200,defxdef,1120x800,0.08,0.1,,,,2,20,0,0.0,0,0,20,wrong
2026-09-19T15:07:06,p9_single_dpi200_box0.12_txt0.1_procDEFAULT,9,single,200,defxdef,1120x800,0.12,0.1,,,,2,12,0,0.0,0,0,12,correct
2026-09-19T15:08:12,p10_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,10,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,3,37,3,1.0,5,0,32,wrong
2026-09-19T15:08:13,p10_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,10,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,3,26,3,1.0,4,0,22,wrong
2026-09-19T15:08:17,p10_single_dpi200_box0.08_txt0.1_procDEFAULT,10,single,200,defxdef,1120x800,0.08,0.1,,,,3,12,1,0.333,2,0,10,wrong
2026-09-19T15:08:18,p10_single_dpi200_box0.12_txt0.1_procDEFAULT,10,single,200,defxdef,1120x800,0.12,0.1,,,,3,9,1,0.333,2,0,7,correct
2026-09-19T15:08:50,p11_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,11,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,3,42,3,1.0,5,1,36,wrong
2026-09-19T15:08:51,p11_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,11,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,3,35,3,1.0,4,1,30,wrong
2026-09-19T15:08:56,p11_single_dpi200_box0.08_txt0.1_procDEFAULT,11,single,200,defxdef,1120x800,0.08,0.1,,,,3,21,2,0.667,0,1,20,wrong
2026-09-19T15:08:56,p11_single_dpi200_box0.12_txt0.1_procDEFAULT,11,single,200,defxdef,1120x800,0.12,0.1,,,,3,13,2,0.667,0,1,12,correct
2026-09-19T15:09:55,p12_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,12,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,44,6,1.0,1,3,40,wrong
2026-09-19T15:09:56,p12_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,12,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,36,6,1.0,1,3,32,wrong
2026-09-19T15:10:02,p12_single_dpi200_box0.12_txt0.1_procDEFAULT,12,single,200,defxdef,1120x800,0.12,0.1,,,,6,17,0,0.0,0,0,17,correct
2026-09-19T15:10:15,p12_single_dpi200_box0.08_txt0.1_procDEFAULT,12,single,200,defxdef,1120x800,0.08,0.1,,,,6,24,0,0.0,0,0,24,wrong
2026-09-19T15:11:33,p13_single_dpi200_box0.08_txt0.1_procDEFAULT,13,single,200,defxdef,1120x800,0.08,0.1,,,,9,27,3,0.333,0,1,26,correct
2026-09-19T15:11:34,p13_single_dpi200_box0.12_txt0.1_procDEFAULT,13,single,200,defxdef,1120x800,0.12,0.1,,,,9,18,0,0.0,0,0,18,wrong
2026-09-19T15:11:41,p13_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,13,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,9,30,9,1.0,2,6,22,correct
2026-09-19T15:11:43,p13_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,13,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,9,52,9,1.0,5,7,40,wrong
2026-09-19T15:11:46,p14_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,14,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,48,6,1.0,3,3,42,wrong
2026-09-19T15:12:03,p14_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,14,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,36,6,1.0,2,3,31,wrong
2026-09-19T15:12:04,p14_single_dpi200_box0.08_txt0.1_procDEFAULT,14,single,200,defxdef,1120x800,0.08,0.1,,,,6,24,0,0.0,0,0,24,correct
2026-09-19T15:12:05,p14_single_dpi200_box0.12_txt0.1_procDEFAULT,14,single,200,defxdef,1120x800,0.12,0.1,,,,6,14,0,0.0,0,0,14,wrong
2026-09-19T15:12:11,p15_single_dpi200_box0.08_txt0.1_procDEFAULT,15,single,200,defxdef,1120x800,0.08,0.1,,,,9,26,2,0.222,2,1,23,correct
2026-09-19T15:12:12,p15_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,15,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,9,41,9,1.0,6,4,31,wrong
2026-09-19T15:12:13,p15_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,15,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,9,49,9,1.0,6,5,38,wrong
2026-09-19T15:12:23,p15_single_dpi200_box0.12_txt0.1_procDEFAULT,15,single,200,defxdef,1120x800,0.12,0.1,,,,9,14,0,0.0,0,0,14,wrong
2026-09-19T15:12:58,p16_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,16,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,13,40,13,1.0,5,5,30,correct
2026-09-19T15:13:01,p16_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,16,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,13,46,13,1.0,7,6,33,correct
2026-09-19T15:13:03,p16_single_dpi200_box0.08_txt0.1_procDEFAULT,16,single,200,defxdef,1120x800,0.08,0.1,,,,13,15,3,0.231,0,1,14,wrong
2026-09-19T15:13:10,p16_single_dpi200_box0.12_txt0.1_procDEFAULT,16,single,200,defxdef,1120x800,0.12,0.1,,,,13,8,0,0.0,0,0,8,wrong
2026-09-19T15:17:57,p17_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,17,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,14,46,14,1.0,7,7,32,correct
2026-09-19T15:18:14,p17_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,17,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,14,33,14,1.0,5,6,22,correct
2026-09-19T15:18:15,p17_single_dpi200_box0.08_txt0.1_procDEFAULT,17,single,200,defxdef,1120x800,0.08,0.1,,,,14,19,9,0.643,4,2,13,wrong
