page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,tiles,raw,kept,anchors,hit,recall,clusters,clean,merged,spurious,mean_score,sec,postproc,err,overlay,tag,human_label,human_correct
1,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,72,10,0,0,,10,0,0,10,0.155,6.7,grounded,,dino_lab_runs\20260920_124756\p1_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p1_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,unlabeled,
1,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,28,6,0,0,,6,0,0,6,0.191,12.4,grounded,,dino_lab_runs\20260920_124756\p1_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p1_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,unlabeled,
1,single,300,defxdef,1236x800,0.08,0.1,,,,1,14,12,0,0,,12,0,0,12,0.129,2.5,grounded,,dino_lab_runs\20260920_124756\p1_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p1_single_dpi300_box0.08_txt0.1_procDEFAULT,unlabeled,
1,single,300,defxdef,1236x800,0.12,0.1,,,,1,5,4,0,0,,4,0,0,4,0.196,1.4,grounded,,dino_lab_runs\20260920_124756\p1_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p1_single_dpi300_box0.12_txt0.1_procDEFAULT,unlabeled,
2,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,65,7,0,0,,7,0,0,7,0.162,13.0,grounded,,dino_lab_runs\20260920_124756\p2_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p2_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,unlabeled,
2,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,31,5,0,0,,5,0,0,5,0.171,5.4,grounded,,dino_lab_runs\20260920_124756\p2_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p2_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,unlabeled,
2,single,300,defxdef,1236x800,0.08,0.1,,,,1,10,5,0,0,,5,0,0,5,0.093,1.9,grounded,,dino_lab_runs\20260920_124756\p2_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p2_single_dpi300_box0.08_txt0.1_procDEFAULT,unlabeled,
2,single,300,defxdef,1236x800,0.12,0.1,,,,1,4,0,0,0,,0,0,0,0,,2.0,grounded,,dino_lab_runs\20260920_124756\p2_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p2_single_dpi300_box0.12_txt0.1_procDEFAULT,unlabeled,
3,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,94,10,0,0,,10,0,0,10,0.142,5.1,grounded,,dino_lab_runs\20260920_124756\p3_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p3_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,unlabeled,
3,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,40,5,0,0,,5,0,0,5,0.177,11.4,grounded,,dino_lab_runs\20260920_124756\p3_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p3_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,unlabeled,
3,single,300,defxdef,1236x800,0.08,0.1,,,,1,15,11,0,0,,11,0,0,11,0.148,1.7,grounded,,dino_lab_runs\20260920_124756\p3_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p3_single_dpi300_box0.08_txt0.1_procDEFAULT,unlabeled,
3,single,300,defxdef,1236x800,0.12,0.1,,,,1,6,5,0,0,,5,0,0,5,0.207,1.7,grounded,,dino_lab_runs\20260920_124756\p3_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p3_single_dpi300_box0.12_txt0.1_procDEFAULT,unlabeled,
